898,4256363529,9fd75afcb8c75da31e1e5718aa601f,97188200@N00,s%40%40m,01-2010,1262968140,Canon+EOS+1000D,8%2F365,,"365+days,365+project,canon,shoe",,77.620979,12.9558,8.0,http://www.flickr.com/photos/97188200@N00/4256363529/,http://farm5.staticflickr.com/4067/4256363529_3cd2e71052.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,4067,5,3cd2e71052,6437b47450,jpg,0
2272,2498375715,bb996f2c3ec8c949b79fc664d106054,58419684@N00,%E2%8C%A1K,05-2008,1211022167,OLYMPUS+OPTICAL+CO.%2CLTD+X200%2CD560Z%2CC350Z,Purple+haze,Shimla+again.+Night+lights+with+the+night+mode+on%2C+without+the+flash.,"bawa,c-350,hills,jaskirat,jk,jzsinr,night,olympus,psychedelic,shimla,shot,singh,zoom",,77.177581,31.104685,9.0,http://www.flickr.com/photos/58419684@N00/2498375715/,http://farm4.staticflickr.com/3107/2498375715_8063080d6b.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,3107,4,8063080d6b,4604668153,jpg,0
3032,4132612622,528b4d7f9e80bd4ef68d53a0f2ca1f8,86124626@N00,%7EShanth,11-2009,1259114105,OLYMPUS+IMAGING+CORP.+E-520,Brown-breasted+Flycatcher,%3Ci%3EMuscicapa+muttui%3C%2Fi%3E,"bird,birds,brown-breasted+flycatcher,flycatcher,muscicapa+muttui,thattekad",,76.689891,10.127737,12.0,http://www.flickr.com/photos/86124626@N00/4132612622/,http://farm3.staticflickr.com/2803/4132612622_886f399f82.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,2803,3,886f399f82,a02845f18e,jpg,0
3417,12922766464,f0d44c8443673c3bc3ffe1f3c3ad3,29780116@N03,UK+in+India,02-2014,1393917771,NIKON+CORPORATION+NIKON+D600,Queen%27s+Birthday+Party+2014+Delhi,British+High+Commissioner+to+India+Sir+James+Bevan+hosted+the+annual+Queen%E2%80%99s+Birthday+party+Thursday%2C+February+27+at+2+Rajaji+Marg+in+New+Delhi.+The+Royal+Artillery+Band+played+the+Indian+and+the+British+national+anthem.+They+also+played+Post+Horn+Gallop.+Follow+us+on+twitter+%40UKinIndia,"british+high+commission,february+2014,india,queen%27s+birthday+party,sir+james+bevan,uk,www.gov.uk%2Fworld%2Findia",,77.205982,28.607156,16.0,http://www.flickr.com/photos/29780116@N03/12922766464/,http://farm8.staticflickr.com/7433/12922766464_987b0e7d6b.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,7433,8,987b0e7d6b,2d47f21a0a,jpg,0
4898,3736461532,edc41a4d193028df8d6676e3a0cd119c,21589235@N06,dorgel1,02-2008,1248033723,NIKON+CORPORATION+NIKON+D50,DSC_0027,Kathmandu+street+scene,"budhanilkantha,kathmandu,nepal",,85.378997,27.797,13.0,http://www.flickr.com/photos/21589235@N06/3736461532/,http://farm4.staticflickr.com/3450/3736461532_6430d0c565.jpg,Attribution-NonCommercial License,http://creativecommons.org/licenses/by-nc/2.0/,3450,4,6430d0c565,6d473d49b9,jpg,0
5365,5797806581,8ed6d56253b01dd77ffdf67e18176c3f,96863630@N00,cs_smith,06-2011,1307232402,Google+Nexus+One,IMG_20110603_181410,,"india,mumbai",,72.829148,18.9531,16.0,http://www.flickr.com/photos/96863630@N00/5797806581/,http://farm4.staticflickr.com/3081/5797806581_bff48ef063.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,3081,4,bff48ef063,f54f3f6ce4,jpg,0
5930,2249551851,8f247c4a79c8cf99d355cd6b4e729810,45306251@N00,Anduze+traveller,02-2008,1202457894,Canon+EOS+20D,....+and+gives+on+the+left+I,A+newly+developing+%22char%22+%28island+formed+by+silt+deposited%29%2C+directly+across+from+heavily+eroded+river+banks%2C+in+one+of+the+many+rivers+that+criss-cross+the+whole+delta+area+of+southern+Bangladesh.+Such+chars+form+rapidly.%0A%0AAlready%2C+farmers+have+started+to+use+this+%22khas%22+%28government%29+land+for+farming+-+pasturage+for+buffaloes%2C+planting+rice+etc.,"bangladesh,char,island,new,silt-deposits",,90.359287,22.817801,12.0,http://www.flickr.com/photos/45306251@N00/2249551851/,http://farm3.staticflickr.com/2349/2249551851_a2a76597c7.jpg,Attribution-NonCommercial-ShareAlike License,http://creativecommons.org/licenses/by-nc-sa/2.0/,2349,3,a2a76597c7,f4a9fe4c7a,jpg,0
6376,5097182980,965a7edabbe453b84ffe355574f3f0b8,10267552@N00,Travelling+Runes,10-2010,1287504949,Canon+PowerShot+SX100+IS,IMG_0997,Durbar+Squaer+Pattan+on+a+rainy+day+during+Daishan+Festival,"islandpeak,khumbu,mountains,nepal,treck",,85.320168,27.670759,16.0,http://www.flickr.com/photos/10267552@N00/5097182980/,http://farm5.staticflickr.com/4153/5097182980_acfc67a832.jpg,Attribution-ShareAlike License,http://creativecommons.org/licenses/by-sa/2.0/,4153,5,acfc67a832,617d49f06f,jpg,0
7166,12912116753,cd422610453e1bf67184d61ff2e5fc7f,69754706@N02,christinechauvin,11-2013,1393877785,NIKON+COOLPIX+P520,Fort+d%27Amber%2C+Jaipur+%28Inde%29,Ganesh+Pol,,,75.850713,26.986161,16.0,http://www.flickr.com/photos/69754706@N02/12912116753/,http://farm4.staticflickr.com/3679/12912116753_0ccf8efdbd.jpg,Attribution-NonCommercial-NoDerivs License,http://creativecommons.org/licenses/by-nc-nd/2.0/,3679,4,0ccf8efdbd,171b729621,jpg,0
7217,181679983,87f8273bf9e4e4c55ff16c87cd3f5,89719900@N00,dirkgroeger,09-2005,1152032237,Canon+DIGITAL+IXUS+500,Cho+Oyu+Expedition,BC,"berg,bergsteigen,expedition,expeditionen,heli-skiing,mountainspirit,skitour,skitouren,telemark",,86.589431,28.202767,10.0,http://www.flickr.com/photos/89719900@N00/181679983/,http://farm1.staticflickr.com/59/181679983_84ed569bf6.jpg,Attribution License,http://creativecommons.org/licenses/by/2.0/,59,1,84ed569bf6,84ed569bf6,jpg,0
